983040,0
983041,0
983056,0
950290,0
770052,9
983070,0
983080,0
950317,0
983091,0
950325,0
983100,1
950338,0
950344,0
950345,1
950347,0
950350,0
950352,0
950355,0
950360,0
950365,1
950366,1
950367,0
950368,0
950369,0
950371,0
950372,0
950373,0
950375,1
950380,0
983155,0
950390,0
983200,6
950435,0
950436,0
950437,0
950439,0
750703,7
475165,1
590002,16
950451,0
983220,1
590020,0
950471,0
950475,0
565212,0
950482,0
983255,0
590041,0
590051,0
590052,1
950501,2
950510,0
950516,0
950517,0
590070,2
950520,0
983290,0
830165,1
590080,0
950530,0
590090,0
950540,0
950541,0
590095,0
983316,0
835630,0
950552,0
950553,0
983325,1
590110,0
950560,0
983338,0
950571,0
950572,0
590130,0
983347,0
950580,0
590135,1
590140,1
950590,0
950591,0
983360,0
590145,0
983365,0
983366,0
983368,0
590155,0
983372,0
983373,0
590160,0
983385,0
983390,0
950625,2
950630,0
950640,0
666344,2
950645,5
590200,5
950651,1
983420,0
590205,2
590211,0
950660,1
395002,5
950666,6
983435,0
590220,6
950670,0
590225,0
835651,0
590230,0
950679,0
983450,1
590235,0
950690,0
950692,0
950694,0
950696,0
950700,2
590255,1
950704,1
950705,0
983475,3
950710,5
950713,0
983490,0
835660,1
950731,0
950732,0
983501,1
830200,29
950740,0
950750,17
983520,1
590305,0
710054,1
590310,0
590316,0
835666,0
666365,99
950770,0
950771,1
590325,1
950775,0
372092,0
605140,0
950780,0
983552,0
590338,0
835670,0
950790,0
666369,43
983560,0
770135,1
666370,2
950800,1
666371,4
830212,0
590365,0
590369,0
950820,0
950830,1
590385,0
950840,3
950850,1
983625,1
950860,0
983630,2
590420,0
983640,0
983645,1
590432,0
590433,0
590435,0
590439,1
590450,0
590451,0
590452,0
698344,0
590461,0
950910,5
775616,0
230020,20
830230,0
950920,46
835692,0
983690,0
590475,1
230031,0
983696,0
590481,0
590483,0
983701,0
983702,0
950935,4
230040,47
230041,7
230042,19
950940,9
983710,3
983713,0
950946,0
230051,2
230052,2
230053,1
230054,0
230055,6
230058,0
481211,0
590510,0
983732,1
590517,0
230070,84
590520,2
771452,1
983740,0
230080,0
590530,0
590531,0
835702,0
983750,1
230090,22
230091,13
230092,14
230093,1
230094,20
230095,15
230100,184
230101,74
590551,2
590552,2
590553,0
230110,0
983775,0
590560,6
230115,1
590565,0
590570,0
590571,0
590572,0
230130,45
590580,4
590581,2
230135,43
230140,68
230145,24
230150,7
983816,1
230155,136
230160,138
230165,19
983830,0
983840,0
820002,93
983850,0
820020,7
230200,167
230205,25
820031,0
230210,29
230211,26
230212,0
820040,3
820041,0
230220,348
230221,0
230223,1
230225,17
820051,0
820052,1
820053,0
820054,0
983900,12
437051,0
820070,6
983920,4
835731,0
704660,1
820090,0
820091,0
820094,0
437056,0
820100,1
820101,17
983946,0
983950,0
820115,0
704666,5
820130,0
820135,5
835740,1
820140,2
710130,4
770205,4
820145,1
820155,0
820160,5
820165,0
983205,0
835750,1
820200,23
820205,1
820210,4
820211,0
820212,0
820220,12
820221,0
820225,5
820230,1
820235,0
615432,49
820255,4
652531,5
950450,0
950452,0
820290,1
